load,L,seed,rho_hat,ic_slack,best_multiplier,strategic_rho,regret,learned_reward,best_fixed_reward,truthful_utility,theory_rho_T_over_L,theory_sqrt_LT
0.6,30,132,0.0125,0.0,1.0,0.0125,1438.4914661013463,-113550.27958591767,-112111.78811981632,387800.52954870986,1.0,268.32815729997475
0.6,60,162,0.0,0.0,1.0,0.0,194.55770454206504,-108107.18552395495,-107912.62781941288,345976.4409529332,0.0,379.4733192202055
0.6,120,222,0.0,0.0,1.0,0.0,0.0,-111674.80852045806,-111674.80852045806,328579.0962628609,0.0,536.6563145999495
0.6,240,342,0.0,0.0,1.0,0.0,8378.18519938855,-125969.24070252653,-117591.05550313798,464855.8410684339,0.0,758.946638440411
0.9,30,162,0.30666666666666664,0.0,1.0,0.30666666666666664,3777.158637942659,-134993.80319665791,-131216.64455871526,832929.36176854,24.533333333333335,268.32815729997475
0.9,60,192,0.3275,0.0,1.0,0.3275,4558.633498769574,-141910.6052659685,-137351.97176719893,768694.7996873903,13.1,379.4733192202055
0.9,120,252,0.2,0.0,1.0,0.2,2488.798383844114,-140720.03931567495,-138231.24093183083,954189.6766262412,4.0,536.6563145999495
0.9,240,372,0.39666666666666667,419.9297171665821,0.95,0.41,14128.007710523787,-135934.55530593763,-121806.54759541384,640464.6220785943,3.966666666666667,758.946638440411
1.2,30,192,0.6370833333333333,6592.241716782097,0.95,0.60875,735.0892402007885,-149181.52803499775,-148446.43879479697,1416459.868927063,50.96666666666667,268.32815729997475
1.2,60,222,0.6425,5435.983966241591,1.2,0.6708333333333333,2950.170249261253,-144761.03674320393,-141810.86649394268,1213858.9188306646,25.7,379.4733192202055
1.2,120,282,0.47375,11709.955584184732,1.1,0.5591666666666667,1286.1979152268323,-145636.35724537566,-144350.15933014883,1033040.8948093127,9.475,536.6563145999495
1.2,240,402,0.7225,0.0,1.0,0.7225,3591.26079856095,-148427.51186770023,-144836.25106913928,1687078.559750482,7.225,758.946638440411
0.6,30,1132,0.0,0.0,1.0,0.0,5683.066200604109,-120086.95467471349,-114403.88847410938,363852.95665283425,0.0,268.32815729997475
0.6,60,1162,0.05,0.0,1.0,0.05,6955.746365740575,-135001.9093441116,-128046.16297837102,362290.43304816086,2.0,379.4733192202055
0.6,120,1222,0.0,0.0,1.0,0.0,0.0,-113877.30216504938,-113877.30216504938,277204.9113758488,0.0,536.6563145999495
0.6,240,1342,0.1,0.0,1.0,0.1,228.18603289409657,-133627.19233202573,-133399.00629913164,594124.1576327774,1.0,758.946638440411
0.9,30,1162,0.17416666666666666,2080.9364896207117,1.05,0.24958333333333332,1356.3602872364572,-143674.4307454729,-142318.07045823644,883967.953173527,13.933333333333334,268.32815729997475
0.9,60,1192,0.25,0.0,1.0,0.25,4639.259203655471,-138348.9304302498,-133709.67122659434,948143.5466356806,10.0,379.4733192202055
0.9,120,1252,0.22666666666666666,79.63405574811623,1.05,0.3,2142.898986629356,-127529.40760413505,-125386.5086175057,838307.1331689788,4.533333333333333,536.6563145999495
0.9,240,1372,0.2,0.0,1.0,0.2,6439.861174642239,-124857.9522162308,-118418.09104158856,654132.7159172405,2.0,758.946638440411
1.2,30,1192,0.5604166666666667,3667.5661886888556,1.05,0.5575,1809.7722628911724,-147075.6729267494,-145265.90066385822,1374508.2324744472,44.833333333333336,268.32815729997475
1.2,60,1222,0.64625,0.0,1.0,0.64625,3653.1127372270857,-144398.03852463857,-140744.92578741148,1295701.5536441046,25.85,379.4733192202055
1.2,120,1282,0.55125,0.0,1.0,0.55125,4322.786063202802,-145017.51333708252,-140694.72727387972,1627644.3373265984,11.025,536.6563145999495
1.2,240,1402,0.5416666666666666,0.0,1.0,0.5416666666666666,5093.952206655347,-135679.54566470062,-130585.59345804527,1013037.9312054942,5.416666666666667,758.946638440411
0.6,30,2132,0.04708333333333333,0.0,1.0,0.04708333333333333,19.353477003081935,-117445.21543215915,-117425.86195515607,510736.2141048373,3.7666666666666666,268.32815729997475
0.6,60,2162,0.0,0.0,1.0,0.0,0.0,-106828.4700398646,-106828.4700398646,308165.2409819146,0.0,379.4733192202055
0.6,120,2222,0.0,0.0,1.0,0.0,0.0,-111191.38916797219,-111191.38916797219,352817.71380080964,0.0,536.6563145999495
0.6,240,2342,0.0,0.0,1.0,0.0,0.0,-108280.78468574624,-108280.78468574624,411928.817078657,0.0,758.946638440411
0.9,30,2162,0.22291666666666668,0.0,1.0,0.22291666666666668,6947.583149611266,-126282.45423551727,-119334.87108590601,723273.4897311673,17.833333333333332,268.32815729997475
0.9,60,2192,0.40458333333333335,3000.5815465721535,1.05,0.41625,5141.303440525226,-139339.78887050433,-134198.4854299791,904620.6407072794,16.183333333333334,379.4733192202055
0.9,120,2252,0.2991666666666667,0.0,1.0,0.2991666666666667,1968.8504338065977,-141598.33182692478,-139629.48139311819,780367.0519116281,5.983333333333334,536.6563145999495
0.9,240,2372,0.17666666666666667,0.0,1.0,0.17666666666666667,6838.214982638543,-133379.85532645957,-126541.64034382103,828157.3706790417,1.7666666666666666,758.946638440411
1.2,30,2192,0.6579166666666667,6874.10556392814,0.95,0.6279166666666667,819.9687991802057,-147468.33526977917,-146648.36647059896,1511529.1257164737,52.63333333333333,268.32815729997475
1.2,60,2222,0.5595833333333333,2976.9875386480708,0.95,0.48125,1602.4698873147136,-146771.73643188798,-145169.26654457327,1176431.0199657332,22.383333333333333,379.4733192202055
1.2,120,2282,0.5633333333333334,379.0321913261432,0.95,0.5041666666666667,1450.6157513807702,-148437.5560230019,-146986.94027162113,1327804.249463288,11.266666666666667,536.6563145999495
1.2,240,2402,0.69,14185.430058708414,0.95,0.6816666666666666,2305.9347481557925,-148161.13892879532,-145855.20418063953,1433810.2680918565,6.8999999999999995,758.946638440411
